number,userid,vehicleid,stationid,reservationno,logtime,longitude,latitude,speed,heading,charge,fuel,hdop,km,stationid2,station_dt,gpsenginelockstate,gpsdoorlockstate,doorlockstate,enginestate,frontdoorstate,reardoorstate
579,2241,77,7,6609,01-01-18 15:12,100.3663875,14.01057232,61.116,143.3,12.72,80,0.9,3751.615848,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
580,2241,77,7,6609,01-01-18 15:13,100.3690396,14.00698048,60.3752,143.6,12.76,80,0.8,3752.107157,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
581,2241,77,7,6609,01-01-18 15:13,100.3721053,14.00282642,64.0792,145.5,12.72,80,0.8,3752.675282,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
582,2241,77,7,6609,01-01-18 15:14,100.3745207,13.9988037,58.5232,155.2,12.65,80,0.8,3753.192964,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
583,2241,77,7,6609,01-01-18 15:14,100.3763927,13.99475805,55.56,156.2,12.72,80,0.8,3753.686082,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
584,2241,77,7,6609,01-01-18 15:15,100.3783483,13.99138945,59.6344,138.8,12.72,80,0.8,3754.115994,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
585,2241,77,7,6609,01-01-18 15:15,100.3809501,13.98871907,35.7436,137.4,12.69,80,0.8,3754.52462,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
586,2241,77,7,6609,01-01-18 15:16,100.3836466,13.9858578,54.2636,137.2,12.72,80,0.8,3754.955747,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
587,2241,77,7,6609,01-01-18 15:16,100.3863507,13.98294347,60.9308,138.3,12.76,80,0.8,3755.391806,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
588,2241,77,7,6609,01-01-18 15:17,100.3903105,13.97806797,73.154,144.1,12.76,80,0.8,3756.082069,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
589,2241,77,7,6609,01-01-18 15:17,100.3917677,13.97607453,9.0748,144.7,12.65,80,0.8,3756.353831,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
590,2241,77,7,6609,01-01-18 15:18,100.3926213,13.97492478,26.854,143.4,12.69,80,0.8,3756.511401,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
591,2241,77,7,6609,01-01-18 15:18,100.3941289,13.97288453,46.3,144.1,12.69,80,0.8,3756.790565,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
592,2241,77,7,6609,01-01-18 15:19,100.3961974,13.97008485,47.226,143.6,12.65,80,0.8,3757.173625,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
593,2241,77,7,6609,01-01-18 15:19,100.3976981,13.9680414,33.8916,144.2,12.69,80,0.8,3757.452646,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
594,2241,77,7,6609,01-01-18 15:20,100.3992546,13.96592357,34.4472,144.1,12.69,80,0.8,3757.741897,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
595,2241,77,7,6609,01-01-18 15:20,100.4007168,13.96393395,28.5208,144.5,12.69,80,0.8,3758.013633,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
596,2241,77,7,6609,01-01-18 15:21,100.4019302,13.96228818,4.0744,161.5,12.72,80,0.8,3758.238649,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
597,2241,77,7,6609,01-01-18 15:21,100.4027012,13.96123305,36.6696,145.1,12.72,80,0.8,3758.382481,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
598,2241,77,7,6609,01-01-18 15:22,100.4049596,13.95817168,63.894,145.1,12.76,80,0.8,3758.801138,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
599,2241,77,7,6609,01-01-18 15:22,100.4080117,13.95403782,56.6712,144.7,12.72,80,0.8,3759.366616,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
600,2241,77,7,6609,01-01-18 15:23,100.4104775,13.95068925,59.264,143.4,12.69,80,0.8,3759.824272,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
601,2241,77,7,6609,01-01-18 15:23,100.4122611,13.9482804,66.8572,144.4,12.72,80,0.7,3760.154105,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
602,2241,77,7,6609,01-01-18 15:24,100.4154962,13.94423253,67.598,139.5,12.8,80,0.7,3760.723736,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
603,2241,77,7,6609,01-01-18 15:24,100.4194468,13.9441466,43.3368,46.9,12.72,80,0.7,3761.150186,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
604,2241,77,7,6609,01-01-18 15:25,100.4218005,13.94816718,76.1172,26.4,12.72,80,0.8,3761.664377,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
605,2241,77,7,6609,01-01-18 15:25,100.4242421,13.9527327,65.746,25.9,12.72,80,0.7,3762.23634,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
606,2241,77,7,6609,01-01-18 15:26,100.4266522,13.95737653,69.2648,27.7,12.69,80,0.7,3762.814511,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
607,2241,77,7,6609,01-01-18 15:26,100.4292605,13.9620452,70.9316,31.4,12.76,80,0.7,3763.405035,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
608,2241,77,7,6609,01-01-18 15:27,100.4317711,13.96679488,60.9308,27.7,12.69,80,0.7,3763.998611,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
609,2241,77,7,6609,01-01-18 15:27,100.4341655,13.97133163,74.08,26.9,12.61,80,0.7,3764.56539,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
610,2241,77,7,6609,01-01-18 15:28,100.4368077,13.97627812,61.116,25.5,12.61,80,0.7,3765.184915,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
611,2241,77,7,6609,01-01-18 15:28,100.4383185,13.9781985,25.3724,149.4,12.69,80,0.7,3765.453563,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
612,2241,77,7,6609,01-01-18 15:29,100.4367791,13.9755639,64.2644,209.6,12.72,80,0.7,3765.790333,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
613,2241,77,7,6609,01-01-18 15:29,100.4342168,13.9708749,65.1904,207.8,12.69,80,0.7,3766.380496,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
614,2241,77,7,6609,01-01-18 15:30,100.4315937,13.96590532,68.7092,206.9,12.65,80,0.7,3767.001365,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
615,2241,77,7,6609,01-01-18 15:30,100.4293315,13.96142433,75.3764,207.1,12.65,80,0.7,3767.55621,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
616,2241,77,7,6609,01-01-18 15:31,100.4266144,13.95596717,85.5624,206.7,12.65,80,0.7,3768.230144,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
617,2241,77,7,6609,01-01-18 15:31,100.4239991,13.95105418,62.5976,205,12.69,80,0.7,3768.845036,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
618,2241,77,7,6609,01-01-18 15:32,100.4218958,13.94699423,62.5976,208,12.65,80,0.7,3769.350331,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
619,2241,77,7,6609,01-01-18 15:32,100.4198446,13.94284838,51.3004,203.3,12.61,80,0.7,3769.861725,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
620,2241,77,7,6609,01-01-18 15:33,100.4230268,13.9422259,65.1904,74.1,12.69,80,0.7,3770.212052,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
621,2241,77,7,6609,01-01-18 15:33,100.4279928,13.94387513,66.1164,69.9,12.58,80,0.7,3770.778486,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
622,2241,77,7,6609,01-01-18 15:34,100.4327433,13.94557053,65.5608,69.9,12.72,80,0.7,3771.324716,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
623,2241,77,7,6609,01-01-18 15:34,100.4375801,13.9471338,67.4128,78.4,12.69,80,0.7,3771.874869,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
624,2241,77,7,6609,01-01-18 15:35,100.4428691,13.9480555,64.0792,80.3,12.72,80,0.7,3772.454766,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
625,2241,77,7,6609,01-01-18 15:35,100.4474727,13.94885975,64.2644,80,12.69,80,0.7,3772.959554,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
626,2241,77,7,6609,01-01-18 15:36,100.4526539,13.94971663,80.7472,80.5,12.65,80,0.7,3773.526754,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
627,2241,77,7,6609,01-01-18 15:36,100.4590821,13.95082365,78.3396,80.2,12.65,80,0.7,3774.231283,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
628,2241,77,7,6609,01-01-18 15:37,100.4655347,13.95193797,87.2292,80.2,12.61,80,0.7,3774.938553,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
629,2241,77,7,6609,01-01-18 15:37,100.4719391,13.95303478,82.7844,79.9,12.58,80,0.7,3775.640356,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
630,2241,77,7,6609,01-01-18 15:38,100.480449,13.95450423,68.524,79.6,12.65,80,0.7,3776.573113,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
631,2241,77,7,6609,01-01-18 15:39,100.4893159,13.95602548,70.376,79.6,12.65,80,0.7,3777.544807,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
632,2241,77,7,6609,01-01-18 15:39,100.4941734,13.95683612,57.9676,79.6,12.61,80,0.8,3778.076681,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
633,2241,77,7,6609,01-01-18 15:40,100.4986205,13.95761833,56.8564,80.3,12.69,80,0.7,3778.564397,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
634,2241,77,7,6609,01-01-18 15:40,100.5032995,13.9584148,64.82,80.2,12.65,80,0.7,3779.077022,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
635,2241,77,7,6609,01-01-18 15:41,100.5088418,13.95906517,64.0792,88.6,12.76,80,0.7,3779.679455,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
636,2241,77,7,6609,01-01-18 15:41,100.5129435,13.9593655,42.2256,44.3,12.69,80,0.7,3780.123332,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
637,2241,77,7,6609,01-01-18 15:42,100.5133682,13.96404118,68.524,3.4,12.76,80,0.7,3780.645261,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
638,2241,77,7,6609,01-01-18 15:42,100.5136472,13.96686875,0.926,5.1,12.25,80,0.7,3780.96111,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
639,2241,77,7,6609,01-01-18 15:43,100.5136891,13.96599123,55.56,181.2,13.12,80,0.7,3781.05879,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
640,2241,77,7,6609,01-01-18 15:44,100.5134876,13.96189317,26.854,184.5,13.16,80,0.7,3781.514992,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
641,2241,77,7,6609,01-01-18 15:44,100.5150876,13.95982137,60.0048,67.1,13.12,80,0.8,3781.802882,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
642,2241,77,7,6609,01-01-18 15:45,100.5204126,13.96218805,79.4508,64.9,13.09,80,0.7,3782.434901,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
643,2241,77,7,6609,01-01-18 15:45,100.5260649,13.96447875,82.414,71.5,12.76,80,0.8,3783.095888,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
644,2241,77,7,6609,01-01-18 15:46,100.5326312,13.96569928,81.488,83.4,12.76,80,0.7,3783.817323,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
645,2241,77,7,6609,01-01-18 15:46,100.5390256,13.96641633,81.3028,83.6,12.76,80,0.7,3784.511925,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
646,2241,77,7,6609,01-01-18 15:47,100.5448516,13.96679232,64.82,87.9,12.69,80,0.7,3785.141983,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
647,2241,77,7,6609,01-01-18 15:47,100.5496992,13.96790697,61.6716,76.5,12.65,80,0.7,3785.679552,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
648,2241,77,7,6609,01-01-18 15:48,100.5550251,13.96929943,77.4136,75,12.72,80,0.7,3786.27475,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
649,2241,77,7,6609,01-01-18 15:48,100.5608484,13.97077455,77.5988,76.4,12.72,80,0.7,3786.924173,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
650,2241,77,7,6609,01-01-18 15:49,100.5663705,13.9721941,77.0432,75.8,12.65,80,0.7,3787.540593,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
651,2241,77,7,6609,01-01-18 15:49,100.5716974,13.973533,60.9308,76.9,12.72,80,0.7,3788.134351,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
652,2241,77,7,6609,01-01-18 15:50,100.5760329,13.97463185,54.0784,75.5,12.69,80,0.7,3788.617866,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
653,2241,77,7,6609,01-01-18 15:50,100.5807118,13.97576537,62.2272,74.8,12.69,80,0.7,3789.138237,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
654,2241,77,7,6609,01-01-18 15:51,100.5844481,13.9767435,44.0776,76.4,12.69,80,0.7,3789.555804,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
655,2241,77,7,6609,01-01-18 15:51,100.5882651,13.97770438,46.4852,74.8,12.61,80,0.7,3789.981303,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
656,2241,77,7,6609,01-01-18 15:52,100.5923611,13.97908073,61.3012,45.3,12.69,80,0.7,3790.449018,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
657,2241,77,7,6609,01-01-18 15:52,100.59274,13.9827936,47.4112,350.8,12.69,80,0.7,3790.863889,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
658,2241,77,7,6609,01-01-18 15:53,100.5936227,13.98477958,51.4856,79.2,12.65,80,0.7,3791.104385,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
659,2241,77,7,6609,01-01-18 15:53,100.5980796,13.9855935,66.1164,80.3,12.72,80,0.7,3791.593719,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
660,2241,77,7,6609,01-01-18 15:53,100.6005199,13.98598852,57.2268,80.6,12.69,80,0.7,3791.860666,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
661,2241,77,7,6609,01-01-18 15:54,100.6047902,13.98673595,52.9672,80.2,12.72,80,0.7,3792.328863,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
662,2241,77,7,6609,01-01-18 15:54,100.6076234,13.9872551,22.0388,77.1,12.72,80,0.7,3792.639959,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
663,2241,77,7,6609,01-01-18 15:55,100.6116172,13.98791808,43.1516,77,12.69,80,0.7,3793.077144,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
664,2241,77,7,6609,01-01-18 15:55,100.6141894,13.98961705,31.1136,53.8,12.65,80,0.7,3793.412868,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
665,2241,77,7,6609,01-01-18 15:56,100.6147273,13.99145637,47.226,353,12.65,80,0.7,3793.625468,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
666,2241,77,7,6609,01-01-18 15:56,100.6145056,13.99462255,42.9664,2.5,12.54,79.12,0.7,3793.978344,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
667,2241,77,7,6609,01-01-18 15:57,100.6145529,13.99797175,49.4484,2.6,12.69,80,0.7,3794.350793,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
668,2241,77,7,6609,01-01-18 15:57,100.6146866,14.0017485,40.9292,1.5,12.69,80,0.7,3794.770995,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
669,2241,77,7,6609,01-01-18 15:58,100.6148065,14.005197,59.6344,1.6,12.72,80,0.7,3795.154669,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
670,2241,77,7,6609,01-01-18 15:58,100.6149253,14.00883582,42.596,1.6,12.72,80,0.7,3795.55949,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
671,2241,77,7,6609,01-01-18 15:59,100.6150586,14.0125878,52.9672,2.6,12.65,80,0.7,3795.97694,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
672,2241,77,7,6609,01-01-18 16:00,100.6152785,14.01828715,69.6352,2.9,12.69,80,0.7,3796.611123,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
673,2241,77,7,6609,01-01-18 16:00,100.6152815,14.01845058,69.6352,2.9,12.72,80,0.7,3796.629298,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
674,2241,77,7,6609,01-01-18 16:00,100.6154549,14.02353015,65.0052,3.5,12.72,80,0.7,3797.19443,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
675,2241,77,7,6609,01-01-18 16:01,100.6156532,14.02914537,61.3012,1.4,12.72,80,0.7,3797.81918,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
676,2241,77,7,6609,01-01-18 16:01,100.6158014,14.0334124,54.634,1.1,12.87,80,0.7,3798.293922,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
677,2241,77,7,6609,01-01-18 16:02,100.6160073,14.0385246,74.8208,0,13.67,80,0.7,3798.862806,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
678,2241,77,7,6609,01-01-18 16:02,100.6162531,14.0436576,56.3008,1.8,13.75,80,0.7,3799.434185,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
679,2241,77,7,6609,01-01-18 16:03,100.61642,14.04811532,60.5604,1.5,13.75,80,0.7,3799.930188,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
680,2241,77,7,6609,01-01-18 16:03,100.6165864,14.05247602,68.8944,3,13.75,80,0.7,3800.415407,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
681,2241,77,7,6609,01-01-18 16:04,100.6168113,14.05759377,74.2652,1.3,13.78,80,0.7,3800.984992,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
682,2241,77,7,6609,01-01-18 16:04,100.6169966,14.06232543,49.4484,2,13.67,80,0.7,3801.511509,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
683,2241,77,7,6609,01-01-18 16:05,100.6145401,14.06475255,53.3376,307.8,13.67,80,0.7,3801.889718,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
684,2241,77,7,6609,01-01-18 16:05,100.6098908,14.06515057,61.4864,270.2,13.75,80,0.7,3802.39314,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
685,2241,77,7,6609,01-01-18 16:06,100.6049986,14.06525285,63.894,270.7,13.67,80,0.7,3802.92094,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
686,2241,77,7,6609,01-01-18 16:06,100.602664,14.06517778,3.8892,189.9,13.64,80,0.7,3803.172891,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
687,2241,77,7,6609,01-01-18 16:07,100.6028234,14.0646909,0,218.9,12.98,80,1.5,3803.229693,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
688,2241,77,7,6609,01-01-18 16:07,100.6028601,14.06467075,0,38.1,13.45,80,0.8,3803.234237,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,START,CLOSE,CLOSE
689,2241,77,7,6609,01-01-18 16:07,100.6028601,14.06467068,0,38.1,13.53,80,0.9,3803.234245,0,30-12-17 7:16,UNLOCK,UNLOCK,UNLOCK,START,CLOSE,CLOSE
690,2241,77,7,6609,01-01-18 16:08,100.6028614,14.06466987,0,38.1,12.5,79.78,0.8,3803.234413,0,30-12-17 7:16,UNLOCK,UNLOCK,UNLOCK,STOP,CLOSE,CLOSE
691,2241,77,7,6609,01-01-18 16:11,100.6030023,14.06465345,0,38.1,13.53,80,1.1,3803.249726,0,30-12-17 7:16,UNLOCK,UNLOCK,UNLOCK,START,CLOSE,CLOSE
692,2241,77,7,6609,01-01-18 16:11,100.6030023,14.06465345,0,0,12.54,79.78,0,3803.249726,0,30-12-17 7:16,UNLOCK,UNLOCK,UNLOCK,STOP,CLOSE,CLOSE
693,2241,77,7,6609,01-01-18 16:11,100.6029563,14.0646077,0,0,12.58,79.78,1.2,3803.256831,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
694,2241,77,7,6609,01-01-18 16:21,100.6029563,14.0646077,0,0,12.58,79.78,0,3803.256831,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
695,2241,77,7,6609,01-01-18 16:24,100.6029833,14.06464175,0,0,12.58,79.78,1.1,3803.261602,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
696,2241,77,7,6609,01-01-18 16:26,100.6029841,14.06464567,0,0,12.5,79.78,0.8,3803.262046,0,30-12-17 7:16,UNLOCK,UNLOCK,UNLOCK,STOP,CLOSE,CLOSE
697,2241,77,7,6609,01-01-18 16:26,100.6029841,14.0646457,0,0,12.54,79.78,0.8,3803.262053,0,30-12-17 7:16,UNLOCK,UNLOCK,UNLOCK,STOP,CLOSE,CLOSE
698,2241,77,7,6609,01-01-18 16:28,100.6029716,14.06464747,0,0,12.47,79.78,0.8,3803.263415,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
699,2241,77,7,6609,01-01-18 16:31,100.6029696,14.06464837,0,0,12.54,79.78,0.9,3803.263651,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
700,2241,77,7,6609,01-01-18 16:34,100.602967,14.06464998,0,0,12.58,79.78,0.9,3803.263984,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
701,2241,77,7,6609,01-01-18 16:37,100.6029637,14.06465107,0,0,12.54,79.78,0.8,3803.264362,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
702,2241,77,7,6609,01-01-18 16:40,100.6029615,14.06465068,0,0,12.54,79.78,0.9,3803.264606,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
703,2241,77,7,6609,01-01-18 16:43,100.6029275,14.06462243,0,270,12.58,79.78,0.9,3803.269431,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
704,2241,77,7,6609,01-01-18 16:45,100.6029225,14.06462212,0,270,12.54,79.78,1,3803.269972,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
705,2241,77,7,6609,01-01-18 16:48,100.6028813,14.06462515,0,270,12.54,79.78,0.9,3803.274434,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
706,2241,77,7,6609,01-01-18 16:51,100.6028301,14.06461032,0,270,12.54,79.78,0.9,3803.280192,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
707,2241,77,7,6609,01-01-18 16:54,100.6028397,14.0646099,0,270,12.54,79.78,0.9,3803.281223,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
708,2241,77,7,6609,01-01-18 16:57,100.6028433,14.06461212,0,270,12.54,79.78,1,3803.28168,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
709,2241,77,7,6609,01-01-18 17:00,100.6028443,14.0646119,0,270,12.54,79.78,1.2,3803.281796,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
710,2241,77,7,6609,01-01-18 17:03,100.602845,14.06461102,0,270,12.54,79.78,0.9,3803.281922,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
711,2241,77,7,6609,01-01-18 17:06,100.6028462,14.0646119,0,270,12.54,79.78,0.9,3803.282079,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
712,2241,77,7,6609,01-01-18 17:09,100.6028451,14.06461167,0,270,12.54,79.78,0.9,3803.2822,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
